Timestamp,Emotion
287483356.8571,DISCOMFORT
287483490.1904,SURPRISE
287483623.5238,SURPRISE or ANGER
287483756.8571,SHOCK
287483890.1904,SURPRISE
287484023.5238,DISCOMFORT
287484156.8571,SURPRISE
287484290.1904,SURPRISE or ANGER
287484323.5238,SHOCK
287484456.8571,DISCOMFORT
287484490.1904,SURPRISE
287484623.5238,SURPRISE or ANGER
287484756.8571,SHOCK
287484890.1904,DISCOMFORT
287484923.5238,SURPRISE
287485056.8571,SURPRISE or ANGER
287485090.1904,SHOCK
287485223.5238,SURPRISE
287485356.8571,SURPRISE
287485490.1904,SURPRISE or ANGER
287485523.5238,SHOCK
287485556.8571,SURPRISE
287485690.1904,DISCOMFORT
287485823.5238,SAD
287485856.8571,SURPRISE or ANGER
287485990.1904,SHOCK
287486023.5238,SURPRISE
287486156.8571,DISCOMFORT
287486290.1904,SURPRISE
287486323.5238,SURPRISE or ANGER
287486356.8571,SHOCK
287486490.1904,SURPRISE
287486623.5238,SURPRISE
287486656.8571,SURPRISE or ANGER
287486790.1904,SHOCK
287486823.5238,SURPRISE
287486956.8571,DISCOMFORT
287487090.1904,SURPRISE
287487223.5238,SURPRISE or ANGER
287487356.8571,SHOCK
287487490.1904,SURPRISE
287487623.5238,DISCOMFORT
287487756.8571,SURPRISE
